"","gene","p.value","gene","count"
"98","AB12I_ARATH",0.536041957,"AB12I_ARATH",2
"99","AB13C_ORYSJ",0.858587506,"AB13C_ORYSJ",1
"100","AB14C_ARATH",0.518269691,"AB14C_ARATH",5
"101","AB15B_ARATH",0.398139182,"AB15B_ARATH",1
"102","AB15C_ARATH",0.633192523,"AB15C_ARATH",3
"103","AB15G_ARATH",0.016220039,"AB15G_ARATH",4
"104","AB16G_ARATH",1,"AB16G_ARATH",1
"105","AB17A_HUMAN",0.749947369,"AB17A_HUMAN",1
"106","AB17B_CHICK",0.328113962,"AB17B_CHICK",2
"107","AB17B_RAT",0.187269353,"AB17B_RAT",1
"108","AB17C_DANRE",0.223487627,"AB17C_DANRE",3
"109","AB19I_ARATH",0.405070984,"AB19I_ARATH",2
"110","AB1C_ARATH",0.862725696,"AB1C_ARATH",1
"111","AB1D_ARATH",0.41130403,"AB1D_ARATH",11
"112","AB1F_ARATH",0.343966234,"AB1F_ARATH",17
"113","AB20B_ARATH",0.317734097,"AB20B_ARATH",4
"114","AB20I_ARATH",0.239670318,"AB20I_ARATH",4
"115","AB21B_ARATH",0.892907528,"AB21B_ARATH",3
"116","AB21I_ARATH",0.194939661,"AB21I_ARATH",1
"117","AB22G_ARATH",0.118780274,"AB22G_ARATH",2
"118","AB25B_ARATH",0.227987302,"AB25B_ARATH",4
"119","AB25B_ORYSJ",0.350907978,"AB25B_ORYSJ",2
"120","AB26B_ARATH",0.192521636,"AB26B_ARATH",6
"121","AB28B_ARATH",0.110580178,"AB28B_ARATH",5
"122","AB2A_ARATH",0.364623474,"AB2A_ARATH",2
"123","AB2C_ARATH",0.072810409,"AB2C_ARATH",4
"124","AB2D_ARATH",0.077919015,"AB2D_ARATH",9
"125","AB2E_ARATH",0.070827673,"AB2E_ARATH",4
"126","AB2G_ARATH",0.504401828,"AB2G_ARATH",2
"127","AB35G_ORYSJ",0.129324729,"AB35G_ORYSJ",2
"128","AB36G_ORYSJ",0.409841233,"AB36G_ORYSJ",2
"129","AB39G_ORYSJ",0.130407285,"AB39G_ORYSJ",4
"130","AB3C_ARATH",0.048696463,"AB3C_ARATH",7
"131","AB3F_ARATH",0.029544798,"AB3F_ARATH",3
"132","AB42G_ORYSJ",0.647559363,"AB42G_ORYSJ",4
"133","AB45G_ORYSJ",0.44390023,"AB45G_ORYSJ",1
"134","AB4C_ARATH",0.582630737,"AB4C_ARATH",2
"135","AB4C_MAIZE",0.135860819,"AB4C_MAIZE",7
"136","AB4F_ARATH",0.700189991,"AB4F_ARATH",3
"137","AB53G_ORYSJ",0.321930627,"AB53G_ORYSJ",6
"138","AB5B_ARATH",0.550988018,"AB5B_ARATH",1
"139","AB5F_ARATH",0.746083827,"AB5F_ARATH",3
"140","AB6B_ARATH",0.683342502,"AB6B_ARATH",3
"141","AB6C_ARATH",0.860331955,"AB6C_ARATH",2
"142","AB6I_ARATH",0.668752631,"AB6I_ARATH",2
"143","AB7A_ARATH",0.496187584,"AB7A_ARATH",2
"144","AB7G_ARATH",0.130437876,"AB7G_ARATH",4
"145","AB7I_ARATH",0.666089634,"AB7I_ARATH",2
"146","AB8A_ARATH",0.784438519,"AB8A_ARATH",2
"147","AB8C_ARATH",0.34321982,"AB8C_ARATH",10
"148","AB8I_ARATH",0.403671653,"AB8I_ARATH",3
"149","AB9C_ARATH",0.426155852,"AB9C_ARATH",5
"150","ABA2_NICPL",0.281279651,"ABA2_NICPL",6
"151","ABAH3_ORYSI",0.935446901,"ABAH3_ORYSI",2
"152","ABAH3_ORYSJ",0.596880181,"ABAH3_ORYSJ",3
"153","ABD18_HUMAN",0.802447901,"ABD18_HUMAN",1
"154","ABHDB_XENLA",0.59280002,"ABHDB_XENLA",1
"155","ABHDD_DANRE",0.966399062,"ABHDD_DANRE",1
"156","ABIL1_ORYSJ",0.633823102,"ABIL1_ORYSJ",2
"157","ABIL4_ORYSJ",0.748857815,"ABIL4_ORYSJ",1
"158","ABKC_DICDI",0.863583682,"ABKC_DICDI",1
"159","ABP4_MAIZE",0.908869146,"ABP4_MAIZE",1
"160","ABP5_MAIZE",0.077686915,"ABP5_MAIZE",2
"161","ACA1_ORYSJ",0.303691472,"ACA1_ORYSJ",5
"162","ACA2_ARATH",0.242149008,"ACA2_ARATH",1
"163","ACA2_ORYSJ",0.072837024,"ACA2_ORYSJ",6
"164","ACA4_ORYSJ",0.476806833,"ACA4_ORYSJ",2
"165","ACA5_ORYSJ",0.276278771,"ACA5_ORYSJ",6
"166","ACA6_ORYSJ",0.630049757,"ACA6_ORYSJ",5
