"","gene","p.value","gene","count"
"1058","C04C1_PINTA",0.311572184,"C04C1_PINTA",11
"1059","C14B3_MAIZE",0.423167025,"C14B3_MAIZE",2
"1060","C16B1_PICSI",0.033760166,"C16B1_PICSI",1
"1061","C19L2_HUMAN",0.615666672,"C19L2_HUMAN",1
"1062","C19L2_MOUSE",0.176487132,"C19L2_MOUSE",1
"1063","C1D_XENLA",0.679926994,"C1D_XENLA",2
"1064","C2D61_ARATH",0.261888623,"C2D61_ARATH",3
"1065","C2GR1_ARATH",0.129542793,"C2GR1_ARATH",10
"1066","C3390_DROME",0.405399465,"C3390_DROME",1
"1067","C3H11_ORYSJ",0.48674459,"C3H11_ORYSJ",2
"1068","C3H12_ORYSJ",0.633867467,"C3H12_ORYSJ",3
"1069","C3H13_ORYSJ",0.259781697,"C3H13_ORYSJ",5
"1070","C3H14_ORYSJ",0.413776923,"C3H14_ORYSJ",3
"1071","C3H15_ORYSJ",1,"C3H15_ORYSJ",1
"1072","C3H16_ORYSJ",0.391874918,"C3H16_ORYSJ",3
"1073","C3H17_ORYSJ",0.619604284,"C3H17_ORYSJ",5
"1074","C3H18_ORYSJ",0.465466304,"C3H18_ORYSJ",3
"1075","C3H19_ARATH",0.359993066,"C3H19_ARATH",8
"1076","C3H19_ORYSJ",0.724593476,"C3H19_ORYSJ",1
"1077","C3H2_ORYSJ",0.557595436,"C3H2_ORYSJ",2
"1078","C3H20_ORYSJ",0.235639335,"C3H20_ORYSJ",8
"1079","C3H24_ARATH",0.573181847,"C3H24_ARATH",2
"1080","C3H24_ORYSJ",0.098115896,"C3H24_ORYSJ",5
"1081","C3H25_ORYSJ",0.88254216,"C3H25_ORYSJ",2
"1082","C3H27_ORYSJ",0.045750769,"C3H27_ORYSJ",4
"1083","C3H3_ORYSJ",0.381786788,"C3H3_ORYSJ",1
"1084","C3H30_ORYSJ",0.786484918,"C3H30_ORYSJ",1
"1085","C3H31_ORYSJ",0.952292883,"C3H31_ORYSJ",1
"1086","C3H32_ARATH",0.401330635,"C3H32_ARATH",1
"1087","C3H32_ORYSJ",0.135365075,"C3H32_ORYSJ",5
"1088","C3H33_ORYSJ",0.565131899,"C3H33_ORYSJ",4
"1089","C3H35_ORYSJ",0.36114854,"C3H35_ORYSJ",1
"1090","C3H36_ORYSJ",1,"C3H36_ORYSJ",1
"1091","C3H37_ARATH",0.233224114,"C3H37_ARATH",2
"1092","C3H40_ORYSJ",0.789215029,"C3H40_ORYSJ",2
"1093","C3H41_ORYSJ",0.354110012,"C3H41_ORYSJ",4
"1094","C3H43_ORYSJ",1,"C3H43_ORYSJ",2
"1095","C3H44_ARATH",0.19810782,"C3H44_ARATH",4
"1096","C3H44_ORYSJ",0.66082823,"C3H44_ORYSJ",2
"1097","C3H45_ORYSJ",0.087921766,"C3H45_ORYSJ",7
"1098","C3H46_ORYSJ",0.001622384,"C3H46_ORYSJ",8
"1099","C3H49_ORYSJ",0.250772815,"C3H49_ORYSJ",3
"1100","C3H5_ORYSJ",0.135326334,"C3H5_ORYSJ",3
"1101","C3H50_ORYSJ",0.366818244,"C3H50_ORYSJ",3
"1102","C3H53_ORYSJ",0.296504677,"C3H53_ORYSJ",6
"1103","C3H54_ORYSJ",0.541611223,"C3H54_ORYSJ",3
"1104","C3H55_ORYSJ",0.415391657,"C3H55_ORYSJ",10
"1105","C3H56_ORYSJ",0.113088962,"C3H56_ORYSJ",3
"1106","C3H59_ORYSJ",1,"C3H59_ORYSJ",1
"1107","C3H6_ORYSJ",0.639122598,"C3H6_ORYSJ",3
"1108","C3H63_ORYSJ",0.622803557,"C3H63_ORYSJ",1
"1109","C3H65_ORYSJ",0.274895253,"C3H65_ORYSJ",4
"1110","C3H7_ARATH",0.511806919,"C3H7_ARATH",4
"1111","C3H7_ORYSJ",0.02529745,"C3H7_ORYSJ",3
"1112","C3H8_ORYSJ",0.410119966,"C3H8_ORYSJ",2
"1113","C7016_ORYSJ",0.703155309,"C7016_ORYSJ",1
"1114","C701S_ORYSJ",0.823143783,"C701S_ORYSJ",2
"1115","C7091_ARATH",0.264210967,"C7091_ARATH",3
"1116","C70B2_ARATH",0.147017981,"C70B2_ARATH",14
"1117","C71A1_PERAE",0.001355267,"C71A1_PERAE",15
"1118","C71A1_ZINZE",0.529638357,"C71A1_ZINZE",2
"1119","C71A9_SOYBN",0.149825738,"C71A9_SOYBN",3
"1120","C71AJ_APIGR",0.194296159,"C71AJ_APIGR",1
"1121","C71AJ_PASSA",1.45e-05,"C71AJ_PASSA",1
"1122","C71AK_ARATH",0.422762944,"C71AK_ARATH",1
"1123","C71AN_ARATH",0.354500528,"C71AN_ARATH",2
"1124","C71AP_ARATH",0.809162474,"C71AP_ARATH",1
"1125","C71AQ_ARATH",0.268896924,"C71AQ_ARATH",2
"1126","C71BE_ARATH",0.453978191,"C71BE_ARATH",1
"1127","C71BN_ARATH",0.524576112,"C71BN_ARATH",2
"1128","C71BO_ARATH",0.556537626,"C71BO_ARATH",1
"1129","C71C1_MAIZE",0.283400655,"C71C1_MAIZE",3
"1130","C71C2_MAIZE",0.028608353,"C71C2_MAIZE",4
"1131","C71C4_MAIZE",0.000184502,"C71C4_MAIZE",17
"1132","C71D7_SOLCH",1,"C71D7_SOLCH",1
"1133","C71D8_SOYBN",0.356457135,"C71D8_SOYBN",1
"1134","C71DA_SOYBN",0.259395048,"C71DA_SOYBN",5
"1135","C71E1_SORBI",0.004331756,"C71E1_SORBI",15
"1136","C71Z7_ORYSJ",0.127069224,"C71Z7_ORYSJ",4
"1137","C7254_GLYUR",0.076804155,"C7254_GLYUR",4
"1138","C7263_MEDTR",0.182220877,"C7263_MEDTR",1
"1139","C72A1_CATRO",0.20741371,"C72A1_CATRO",3
"1140","C734A_ARATH",0.354698297,"C734A_ARATH",1
"1141","C74A1_ORYSJ",0.610684308,"C74A1_ORYSJ",1
"1142","C74A2_ORYSJ",0.103185741,"C74A2_ORYSJ",2
"1143","C74B2_ARATH",0.918423007,"C74B2_ARATH",8
"1144","C75A2_SOLME",0.796096186,"C75A2_SOLME",1
"1145","C76A1_SOLME",0.438016011,"C76A1_SOLME",2
"1146","C76BA_SWEMU",0.21126294,"C76BA_SWEMU",2
"1147","C76C1_ARATH",0.411260872,"C76C1_ARATH",4
"1148","C76C2_ARATH",0.902605525,"C76C2_ARATH",2
"1149","C76C3_ARATH",0.487117718,"C76C3_ARATH",1
"1150","C76C4_ARATH",0.641317723,"C76C4_ARATH",2
"1151","C76M5_ORYSJ",0.026906477,"C76M5_ORYSJ",8
"1152","C76M6_ORYSJ",0.586983596,"C76M6_ORYSJ",3
"1153","C76M7_ORYSJ",0.432943077,"C76M7_ORYSJ",4
"1154","C76M8_ORYSJ",0.070693119,"C76M8_ORYSJ",3
"1155","C77A1_SOLME",0.082058098,"C77A1_SOLME",3
"1156","C78A3_SOYBN",0.040901927,"C78A3_SOYBN",4
"1157","C78A5_ARATH",0.584513269,"C78A5_ARATH",1
"1158","C78A6_ARATH",0.018199907,"C78A6_ARATH",6
"1159","C78A9_ARATH",0.27987762,"C78A9_ARATH",6
"1160","C79A1_SORBI",7.73e-06,"C79A1_SORBI",5
"1161","C7A11_ARATH",0.37863798,"C7A11_ARATH",1
"1162","C7A14_ARATH",0.144936575,"C7A14_ARATH",8
"1163","C7A15_ARATH",0.29851575,"C7A15_ARATH",8
"1164","C7A29_PANGI",0.173391112,"C7A29_PANGI",4
"1165","C7A52_PANGI",0.000495774,"C7A52_PANGI",3
"1166","C7D31_PANGI",0.521862894,"C7D31_PANGI",1
"1167","C7D55_HYOMU",0.38666417,"C7D55_HYOMU",6
"1168","C81D1_ARATH",0.296523711,"C81D1_ARATH",2
"1169","C81E1_GLYEC",0.171260711,"C81E1_GLYEC",2
"1170","C81E8_MEDTR",0.790876523,"C81E8_MEDTR",2
"1171","C81E9_MEDTR",0.160428372,"C81E9_MEDTR",2
"1172","C85A1_ORYSJ",0.886891444,"C85A1_ORYSJ",1
"1173","C86B1_ARATH",0.246628761,"C86B1_ARATH",3
"1174","C88A1_MAIZE",0.022444804,"C88A1_MAIZE",8
"1175","C89A2_ARATH",0.130487168,"C89A2_ARATH",13
"1176","C89A9_ARATH",0.032032207,"C89A9_ARATH",6
"1177","C90A1_ARATH",0.524161082,"C90A1_ARATH",3
"1178","C90B1_ARATH",0.85807889,"C90B1_ARATH",2
"1179","C90D2_ORYSJ",0.133243842,"C90D2_ORYSJ",3
"1180","C93A1_SOYBN",0.545499473,"C93A1_SOYBN",1
"1181","C93A2_SOYBN",0.921250191,"C93A2_SOYBN",1
"1182","C94A1_VICSA",0.376326402,"C94A1_VICSA",4
"1183","C94B1_ARATH",0.274353078,"C94B1_ARATH",1
"1184","C94B3_ARATH",0.276626156,"C94B3_ARATH",3
"1185","C94C1_ARATH",0.106296182,"C94C1_ARATH",4
"1186","C96AF_ARATH",0.380158118,"C96AF_ARATH",1
"1187","C97B1_PEA",1,"C97B1_PEA",1
"1188","C97B2_SOYBN",1,"C97B2_SOYBN",1
"1189","C98A1_SORBI",0.668892905,"C98A1_SORBI",3
"1190","C98A2_SOYBN",0.844182998,"C98A2_SOYBN",1
"1191","C99A2_ORYSJ",0.691135657,"C99A2_ORYSJ",2
"1192","CA1P_ARATH",0.228510009,"CA1P_ARATH",2
"1193","CA1P_WHEAT",0.750420758,"CA1P_WHEAT",3
"1194","CAA43_BURSP",0.234317606,"CAA43_BURSP",3
"1195","CAAT2_ARATH",0.1748914,"CAAT2_ARATH",3
"1196","CAAT3_ARATH",0.293669351,"CAAT3_ARATH",1
"1197","CAAT4_ARATH",0.297463582,"CAAT4_ARATH",3
"1198","CAAT5_ARATH",0.661824118,"CAAT5_ARATH",2
"1199","CAAT9_ARATH",0.669724084,"CAAT9_ARATH",4
"1200","CABIN_RAT",1,"CABIN_RAT",1
"1201","CACLC_ORYSJ",0.320678648,"CACLC_ORYSJ",5
"1202","CAD1_ARATH",0.420132425,"CAD1_ARATH",1
"1203","CAD8B_ORYSJ",0.953188673,"CAD8B_ORYSJ",2
"1204","CAD8C_ORYSJ",0.68019256,"CAD8C_ORYSJ",2
"1205","CADH_MAIZE",1,"CADH_MAIZE",1
"1206","CADH1_ORYSJ",0.184080033,"CADH1_ORYSJ",4
"1207","CADH3_ORYSJ",0.09352098,"CADH3_ORYSJ",1
"1208","CADH5_ORYSJ",0.016859574,"CADH5_ORYSJ",3
"1209","CADH6_ORYSJ",0.158013663,"CADH6_ORYSJ",4
"1210","CAEH1_ORYSJ",0.624036837,"CAEH1_ORYSJ",1
"1211","CAEH2_ORYSJ",0.08847397,"CAEH2_ORYSJ",3
"1212","CAF1B_ARATH",0.675749255,"CAF1B_ARATH",1
"1213","CAF1G_ARATH",0.530219013,"CAF1G_ARATH",7
"1214","CAF1P_MAIZE",0.521141853,"CAF1P_MAIZE",3
"1215","CAF2M_ORYSJ",0.156885291,"CAF2M_ORYSJ",4
"1216","CAF2P_MAIZE",0.414530635,"CAF2P_MAIZE",2
"1217","CAHC_HORVU",0.177201239,"CAHC_HORVU",20
"1218","CAJ1_YEAST",0.719043174,"CAJ1_YEAST",2
"1219","CALA_BRAOB",0.212898721,"CALA_BRAOB",1
"1220","CALM_AGABI",0.900512031,"CALM_AGABI",2
"1221","CALM_HORVU",4.04e-05,"CALM_HORVU",15
"1222","CALM_MEDSA",0.162199938,"CALM_MEDSA",3
"1223","CALM_SPIOL",0.258726132,"CALM_SPIOL",1
"1224","CALM3_ORYSI",0.161728159,"CALM3_ORYSI",2
"1225","CALM3_PETHY",0.353717936,"CALM3_PETHY",1
"1226","CALR_MAIZE",0.444115036,"CALR_MAIZE",3
"1227","CALR_ORYSJ",0.109794368,"CALR_ORYSJ",5
"1228","CALR3_ARATH",0.380360511,"CALR3_ARATH",7
"1229","CALS1_ARATH",0.716404831,"CALS1_ARATH",3
"1230","CALS2_ARATH",0.25361486,"CALS2_ARATH",5
"1231","CALS3_ARATH",0.020864053,"CALS3_ARATH",18
"1232","CALS9_ARATH",0.140296029,"CALS9_ARATH",8
"1233","CALSA_ARATH",0.731387292,"CALSA_ARATH",4
"1234","CALSB_ARATH",0.282020469,"CALSB_ARATH",1
"1235","CALSC_ARATH",0.326728683,"CALSC_ARATH",5
"1236","CALX_SOYBN",0.866848359,"CALX_SOYBN",1
"1237","CAMK1_ARATH",0.539427492,"CAMK1_ARATH",1
"1238","CAMK1_ORYSJ",0.878849228,"CAMK1_ORYSJ",3
"1239","CAMK3_ARATH",0.620236864,"CAMK3_ARATH",2
"1240","CAMK5_ARATH",1,"CAMK5_ARATH",1
"1241","CAMT1_MAIZE",0.678353572,"CAMT1_MAIZE",2
"1242","CAMT2_DICDI",0.579818198,"CAMT2_DICDI",1
"1243","CAN1_ORYSJ",0.318244565,"CAN1_ORYSJ",3
"1244","CANB1_NAEGR",0.638614176,"CANB1_NAEGR",2
"1245","CAND1_ARATH",0.577034153,"CAND1_ARATH",2
"1246","CAO_ORYSJ",0.207000833,"CAO_ORYSJ",11
"1247","CAP1_ARATH",0.84332914,"CAP1_ARATH",1
"1248","CAP10_ARATH",0.20753468,"CAP10_ARATH",5
"1249","CAP11_ARATH",0.915107956,"CAP11_ARATH",1
"1250","CAP2_ARATH",0.778663328,"CAP2_ARATH",3
"1251","CAP8_ARATH",0.452041058,"CAP8_ARATH",3
"1252","CAPP1_MAIZE",0.623652262,"CAPP1_MAIZE",2
"1253","CAPP1_SORBI",0.493403623,"CAPP1_SORBI",3
"1254","CAPP2_MAIZE",0.631754068,"CAPP2_MAIZE",1
"1255","CAPP2_SORBI",0.248857132,"CAPP2_SORBI",3
"1256","CAPP3_SORBI",0.352371383,"CAPP3_SORBI",10
"1257","CAPZA_ARATH",0.153344116,"CAPZA_ARATH",3
"1258","CAPZB_ARATH",0.401887017,"CAPZB_ARATH",2
"1259","CAR5_ARATH",0.087490252,"CAR5_ARATH",2
"1260","CAR9_ARATH",0.095585107,"CAR9_ARATH",1
"1261","CARA_ORYSJ",0.370019471,"CARA_ORYSJ",6
"1262","CARB_ORYSJ",0.605884111,"CARB_ORYSJ",3
"1263","CARM1_ORYSJ",0.202298271,"CARM1_ORYSJ",4
"1264","CARME_CHICK",0.497936308,"CARME_CHICK",1
"1265","CARME_MOUSE",0.142584028,"CARME_MOUSE",3
"1266","CARME_RAT",0.880999878,"CARME_RAT",1
"1267","CAS_ARATH",0.774607019,"CAS_ARATH",3
"1268","CAS_MAIZE",0.738208674,"CAS_MAIZE",1
"1269","CAS_ORYSJ",0.269035682,"CAS_ORYSJ",5
"1270","CAS1_SOLTU",0.585091889,"CAS1_SOLTU",2
"1271","CAS2_MALDO",0.078667435,"CAS2_MALDO",3
"1272","CASL2_CANSA",0.905762054,"CASL2_CANSA",1
"1273","CASP_ARATH",0.14558612,"CASP_ARATH",3
"1274","CASTO_ORYSJ",0.573745985,"CASTO_ORYSJ",6
"1275","CATA1_MAIZE",0.310688515,"CATA1_MAIZE",6
"1276","CATA1_WHEAT",0.576583242,"CATA1_WHEAT",7
"1277","CATA3_MAIZE",0.294006235,"CATA3_MAIZE",9
"1278","CATB_RAT",0.335560283,"CATB_RAT",4
"1279","CATIN_ARATH",0.204934072,"CATIN_ARATH",2
"1280","CAX1A_ORYSJ",0.000938126,"CAX1A_ORYSJ",7
"1281","CAX1B_ORYSJ",0.201585014,"CAX1B_ORYSJ",3
"1282","CAX1C_ORYSJ",0.219197192,"CAX1C_ORYSJ",3
"1283","CAX3_ORYSJ",0.009510868,"CAX3_ORYSJ",4
"1284","CB12_SOLLC",0.973028513,"CB12_SOLLC",1
"1285","CB121_HORVU",0.114714011,"CB121_HORVU",6
"1286","CB13_SOLLC",0.985447807,"CB13_SOLLC",2
"1287","CB21_MAIZE",0.789561595,"CB21_MAIZE",3
"1288","CB22_ORYSJ",0.763582696,"CB22_ORYSJ",1
"1289","CB23_HORVU",0.126378836,"CB23_HORVU",2
"1290","CB23_ORYSJ",0.420702525,"CB23_ORYSJ",2
"1291","CB24_PEA",0.98954468,"CB24_PEA",1
"1292","CB25_NICPL",0.782527496,"CB25_NICPL",1
"1293","CB25_PETSP",0.053420363,"CB25_PETSP",1
"1294","CB29_MAIZE",0.515001304,"CB29_MAIZE",1
"1295","CB2D_SOLLC",0.000855352,"CB2D_SOLLC",1
"1296","CB48_MAIZE",0.004903809,"CB48_MAIZE",3
"1297","CB4A_ARATH",0.703313481,"CB4A_ARATH",3
"1298","CB4B_SOLLC",0.792882056,"CB4B_SOLLC",1
"1299","CB5_ARATH",0.679264629,"CB5_ARATH",2
"1300","CB60A_ARATH",1,"CB60A_ARATH",2
"1301","CB60B_ARATH",0.391782668,"CB60B_ARATH",10
"1302","CB60C_ARATH",0.525199574,"CB60C_ARATH",5
"1303","CB60D_ARATH",0.251728856,"CB60D_ARATH",7
"1304","CBDAS_CANSA",0.838475276,"CBDAS_CANSA",1
"1305","CBK1_PNECA",0.965101787,"CBK1_PNECA",1
"1306","CBP1_HORVU",0.258566684,"CBP1_HORVU",1
"1307","CBP1_ORYSJ",0.175168282,"CBP1_ORYSJ",9
"1308","CBP2_HORVU",0.509539427,"CBP2_HORVU",1
"1309","CBP2_WHEAT",0.255202364,"CBP2_WHEAT",2
"1310","CBP21_HORVU",0.276075436,"CBP21_HORVU",6
"1311","CBP22_HORVU",0.158215317,"CBP22_HORVU",2
"1312","CBP23_HORVU",0.384348997,"CBP23_HORVU",5
"1313","CBP3_HORVU",0.920269591,"CBP3_HORVU",3
"1314","CBP3_ORYSJ",0.171824331,"CBP3_ORYSJ",2
"1315","CBP3_WHEAT",0.855886642,"CBP3_WHEAT",1
"1316","CBPA6_HUMAN",0.473193281,"CBPA6_HUMAN",1
"1317","CBPX_ORYSJ",0.180890713,"CBPX_ORYSJ",6
"1318","CBSX1_ARATH",0.627725862,"CBSX1_ARATH",2
"1319","CBSX2_ARATH",0.338121038,"CBSX2_ARATH",2
"1320","CBSX3_ARATH",0.784698655,"CBSX3_ARATH",4
"1321","CBSX5_ARATH",0.944953481,"CBSX5_ARATH",1
"1322","CBSX6_ARATH",0.053278041,"CBSX6_ARATH",2
"1323","CBWD1_HUMAN",0.71557038,"CBWD1_HUMAN",2
"1324","CBWD1_RAT",0.725591025,"CBWD1_RAT",1
"1325","CBWD2_HUMAN",0.983857726,"CBWD2_HUMAN",1
"1326","CBWD7_HUMAN",0.816592723,"CBWD7_HUMAN",1
"1327","CBXXC_CUPNH",0.023065087,"CBXXC_CUPNH",1
"1328","CC115_DANRE",0.375663347,"CC115_DANRE",2
"1329","CC124_HUMAN",0.441942266,"CC124_HUMAN",2
"1330","CC130_BOVIN",5.45e-13,"CC130_BOVIN",6
"1331","CC130_DICDI",1,"CC130_DICDI",1
"1332","CCA1_ARATH",0.933649857,"CCA1_ARATH",1
"1333","CCA1_CANGA",1,"CCA1_CANGA",1
"1334","CCA1_YEAST",0.758898765,"CCA1_YEAST",1
"1335","CCA21_ORYSJ",0.211989101,"CCA21_ORYSJ",3
"1336","CCAMK_ORYSJ",0.638647456,"CCAMK_ORYSJ",1
"1337","CCAR1_MOUSE",0.056081396,"CCAR1_MOUSE",8
"1338","CCAR2_MOUSE",0.275184032,"CCAR2_MOUSE",3
"1339","CCB1_ARATH",0.137910864,"CCB1_ARATH",5
"1340","CCB12_ORYSJ",0.098624148,"CCB12_ORYSJ",6
"1341","CCB2_ARATH",0.658379257,"CCB2_ARATH",1
"1342","CCB3_ARATH",0.804565871,"CCB3_ARATH",2
"1343","CCB4_ARATH",0.390431743,"CCB4_ARATH",2
"1344","CCC1_ORYSJ",0.813059519,"CCC1_ORYSJ",1
"1345","CCC11_ORYSJ",0.269393973,"CCC11_ORYSJ",4
"1346","CCD_CROSA",0.37642612,"CCD_CROSA",3
"1347","CCD12_HUMAN",0.530228899,"CCD12_HUMAN",1
"1348","CCD22_ORYSJ",0.059248875,"CCD22_ORYSJ",1
"1349","CCD25_BOVIN",0.979561131,"CCD25_BOVIN",1
"1350","CCD25_MOUSE",0.980438729,"CCD25_MOUSE",1
"1351","CCD4_ARATH",0.68262996,"CCD4_ARATH",3
"1352","CCD94_DICDI",0.03010132,"CCD94_DICDI",1
"1353","CCD94_MOUSE",0.0457475,"CCD94_MOUSE",1
"1354","CCDA2_ORYSJ",0.501218533,"CCDA2_ORYSJ",5
"1355","CCH_ARATH",0.071888789,"CCH_ARATH",8
"1356","CCH11_ORYSJ",0.106512733,"CCH11_ORYSJ",2
"1357","CCI1_ARATH",0.738981268,"CCI1_ARATH",1
"1358","CCL11_ORYSJ",0.418517825,"CCL11_ORYSJ",2
"1359","CCMH_ORYSI",0.589739376,"CCMH_ORYSI",1
"1360","CCMH_ORYSJ",0.531822783,"CCMH_ORYSJ",2
"1361","CCP11_ORYSJ",0.86419271,"CCP11_ORYSJ",1
"1362","CCP21_ORYSJ",0.6731523,"CCP21_ORYSJ",1
"1363","CCP31_ORYSJ",0.2888842,"CCP31_ORYSJ",1
"1364","CCP41_ORYSJ",0.865828218,"CCP41_ORYSJ",1
"1365","CCR1_ARATH",0.007336773,"CCR1_ARATH",18
"1366","CCR2_ARATH",0.033707815,"CCR2_ARATH",4
"1367","CCR4A_ARATH",0.288905784,"CCR4A_ARATH",5
"1368","CCR4B_ARATH",1,"CCR4B_ARATH",1
"1369","CCR4C_ARATH",0.523902,"CCR4C_ARATH",1
"1370","CCR4D_ARATH",0.567358775,"CCR4D_ARATH",1
"1371","CCR4E_ARATH",0.88687358,"CCR4E_ARATH",1
"1372","CCR4F_ARATH",0.422011524,"CCR4F_ARATH",3
"1373","CCS_ORYSJ",0.006176151,"CCS_ORYSJ",3
"1374","CCS1_ORYSJ",0.5426398,"CCS1_ORYSJ",5
"1375","CCT1_ARATH",0.289267199,"CCT1_ARATH",7
"1376","CCT11_ORYSJ",0.395839264,"CCT11_ORYSJ",2
"1377","CCT12_ORYSJ",0.689390893,"CCT12_ORYSJ",3
"1378","CCT13_ORYSJ",0.408367213,"CCT13_ORYSJ",7
"1379","CCT14_ORYSJ",0.192840229,"CCT14_ORYSJ",5
"1380","CCT15_ARATH",0.520945894,"CCT15_ARATH",1
"1381","CCT2_ARATH",0.428855067,"CCT2_ARATH",1
"1382","CCX1_ARATH",0.588349473,"CCX1_ARATH",1
"1383","CCX3_ARATH",0.953794778,"CCX3_ARATH",1
"1384","CCX4_ARATH",0.526489123,"CCX4_ARATH",1
"1385","CCZ1_NEMVE",1,"CCZ1_NEMVE",1
"1386","CD27B_ARATH",0.080154262,"CD27B_ARATH",4
"1387","CD48A_ARATH",0.481254991,"CD48A_ARATH",3
"1388","CD48B_ARATH",0.608924227,"CD48B_ARATH",1
"1389","CD48C_ARATH",0.488692265,"CD48C_ARATH",4
"1390","CD48E_ARATH",0.752005882,"CD48E_ARATH",2
"1391","CDA1_ARATH",0.913510471,"CDA1_ARATH",2
"1392","CDA7L_HUMAN",0.134717352,"CDA7L_HUMAN",4
"1393","CDC23_ARATH",0.557953479,"CDC23_ARATH",2
"1394","CDC27_HUMAN",0.360670426,"CDC27_HUMAN",2
"1395","CDC27_MOUSE",0.838240356,"CDC27_MOUSE",1
"1396","CDC48_SOYBN",0.417366878,"CDC48_SOYBN",5
"1397","CDC5L_ARATH",0.833494738,"CDC5L_ARATH",2
"1398","CDC73_ARATH",0.380270409,"CDC73_ARATH",3
"1399","CDF1_ARATH",0.357737748,"CDF1_ARATH",5
"1400","CDF2_ARATH",0.149922957,"CDF2_ARATH",6
"1401","CDI_ARATH",0.001315767,"CDI_ARATH",3
"1402","CDI8_ARATH",0.06243596,"CDI8_ARATH",3
"1403","CDKA2_ORYSJ",0.327915315,"CDKA2_ORYSJ",2
"1404","CDKAL_DROPS",0.076684503,"CDKAL_DROPS",1
"1405","CDKAL_HUMAN",0.564273365,"CDKAL_HUMAN",2
"1406","CDKAL_XENTR",0.743035247,"CDKAL_XENTR",1
"1407","CDKC1_ORYSJ",0.27726323,"CDKC1_ORYSJ",3
"1408","CDKC2_ORYSJ",0.58124113,"CDKC2_ORYSJ",2
"1409","CDKC3_ORYSJ",0.640115303,"CDKC3_ORYSJ",2
"1410","CDKE1_ORYSJ",0.050723485,"CDKE1_ORYSJ",2
"1411","CDKF1_ORYSJ",0.128143096,"CDKF1_ORYSJ",2
"1412","CDKF3_ORYSJ",0.813777054,"CDKF3_ORYSJ",3
"1413","CDKF4_ORYSJ",0.102532898,"CDKF4_ORYSJ",8
"1414","CDKG1_ORYSI",0.02116719,"CDKG1_ORYSI",2
"1415","CDKG1_ORYSJ",0.223692323,"CDKG1_ORYSJ",4
"1416","CDKG2_ORYSJ",0.16652998,"CDKG2_ORYSJ",3
"1417","CDL1_ARATH",0.403799461,"CDL1_ARATH",4
"1418","CDP1_ARATH",0.276218853,"CDP1_ARATH",2
"1419","CDPK_SOYBN",0.05693286,"CDPK_SOYBN",6
"1420","CDPK1_ARATH",0.330287138,"CDPK1_ARATH",4
"1421","CDPK1_ORYSJ",0.92394718,"CDPK1_ORYSJ",2
"1422","CDPK2_ARATH",0.245902615,"CDPK2_ARATH",1
"1423","CDPK2_ORYSJ",0.568653213,"CDPK2_ORYSJ",7
"1424","CDPK3_ARATH",9.2e-05,"CDPK3_ARATH",14
"1425","CDPK5_ARATH",0.268575596,"CDPK5_ARATH",3
"1426","CDPK5_SOLTU",0.559977953,"CDPK5_SOLTU",2
"1427","CDPK7_ARATH",0.704303325,"CDPK7_ARATH",3
"1428","CDPK8_ARATH",0.275377602,"CDPK8_ARATH",7
"1429","CDPKA_ARATH",0.772189149,"CDPKA_ARATH",2
"1430","CDPKB_ORYSJ",0.255222544,"CDPKB_ORYSJ",4
"1431","CDPKD_ARATH",0.351309532,"CDPKD_ARATH",1
"1432","CDPKG_ARATH",0.008784676,"CDPKG_ARATH",3
"1433","CDPKH_ARATH",1,"CDPKH_ARATH",1
"1434","CDPKL_ARATH",0.32234373,"CDPKL_ARATH",2
"1435","CDPKO_ARATH",0.785630919,"CDPKO_ARATH",1
"1436","CDPKS_ARATH",0.3216794,"CDPKS_ARATH",3
"1437","CDPKU_ARATH",0.395245711,"CDPKU_ARATH",2
"1438","CDPKW_ARATH",0.523982341,"CDPKW_ARATH",1
"1439","CDS1_ARATH",0.733603921,"CDS1_ARATH",3
"1440","CDS1_SOLTU",0.138350409,"CDS1_SOLTU",8
"1441","CDS2_ARATH",0.215858533,"CDS2_ARATH",3
"1442","CDS4_ARATH",0.505301541,"CDS4_ARATH",1
"1443","CDSP_ORYSJ",0.261681236,"CDSP_ORYSJ",3
"1444","CEBIP_ORYSJ",0.777287407,"CEBIP_ORYSJ",1
"1445","CEMA_RHDSA",0.535795856,"CEMA_RHDSA",1
"1446","CEMA_SORBI",0.431153566,"CEMA_SORBI",1
"1447","CEP1_ARATH",0.768039287,"CEP1_ARATH",2
"1448","CER1_ARATH",0.678568132,"CER1_ARATH",1
"1449","CER26_ARATH",0.449450686,"CER26_ARATH",2
"1450","CER3_ARATH",0.209696105,"CER3_ARATH",6
"1451","CER7_ARATH",0.134387911,"CER7_ARATH",3
"1452","CERK_ORYSJ",0.396753677,"CERK_ORYSJ",4
"1453","CERK1_ARATH",0.362713227,"CERK1_ARATH",1
"1454","CERK1_ORYSJ",0.228125124,"CERK1_ORYSJ",4
"1455","CERL1_ARATH",0.210304055,"CERL1_ARATH",2
"1456","CERL2_ARATH",0.641980378,"CERL2_ARATH",3
"1457","CESA1_ORYSJ",0.080589733,"CESA1_ORYSJ",13
"1458","CESA2_ORYSJ",0.673624937,"CESA2_ORYSJ",2
"1459","CESA3_ORYSJ",0.081009987,"CESA3_ORYSJ",3
"1460","CESA5_ORYSJ",0.154845616,"CESA5_ORYSJ",10
"1461","CESA8_ORYSJ",0.055330158,"CESA8_ORYSJ",4
