"","Group","nSpecies","S","alpha","Variance","Pvalue","FDR","ange","sorgh","NormScore.ange","NormScore.sorgh","ange.count","sorgh.count","ange.count.1","sorgh.count.1"
"38","4CL3_ORYSJ",2,0.834213276021428,11.7066376591718,0.0854216239636091,0.692516453691062,1,0.043238466,0.149955187,1.0401166685062,0.62830988353666,11,11,11,11
"39","4CL4_ORYSJ",2,0.131671755806949,2.57142857142857,0.388888888888889,0.986521031198118,1,0.913044008,0.772163881,0.0909711980154188,0.17237231359848,1,2,1,2
"40","4CLL1_ORYSJ",2,0.210570585112014,5.45733357387696,0.183239669421488,0.996930849642852,1,0.782565986,0.549488643,0.133732927072699,0.287408243151329,3,4,3,4
"41","4CLL4_ORYSJ",2,0.11427630223893,2.84705882352941,0.351239669421488,0.993516380543627,1,0.657695574,1,0.22855260447786,0,3,1,3,1
"42","4CLL5_ORYSJ",2,1.2752439063767,7.55871966763495,0.132297537674511,0.207320599897031,1,0.009324609,0.230720216,1.90820336515358,0.642284447599826,6,5,6,5
"43","4CLL6_ORYSJ",2,0.309962490185226,2,0.5,0.871495009291395,1,0.690547027,0.779070468,0.370271202731387,0.249653777639065,1,1,1,1
"44","4CLL7_ORYSJ",2,0.471518043473657,2,0.5,0.756703073234015,1,0.558270735,0.697589233,0.582911246094506,0.360124840852808,1,1,1,1
"45","4CLL9_ARATH",2,0.807070281296173,7.55871966763495,0.132297537674511,0.671960421258365,1,0.160284434,0.138157602,0.747267481432241,0.866873081160106,6,5,6,5
"46","4CLLA_ARATH",2,1.01587479269962,8.66966996258746,0.115344644526878,0.436497640948716,1,0.020545086,0.199801424,1.32645121211488,0.70529837328436,10,5,10,5
"47","5BPOR_DIGLA",2,0.289342867335062,4.16443594646272,0.240128558310376,0.972790887218036,1,0.681645842,0.574379776,0.209042754149043,0.36964298052108,3,2,3,2
"48","5FCL_ARATH",2,0.516226146760476,2.57142857142857,0.388888888888889,0.769272998319585,1,0.230528241,0.947244826,0.978254602295397,0.0541976912255546,2,1,2,1
"49","5FCLL_ARATH",2,1.03951167541807,7.47972943266957,0.133694675589768,0.409618292000795,1,0.015102952,0.327155483,1.54270987663898,0.536313474197166,8,4,8,4
"50","5MAT_ARATH",2,0.549626499673235,2.57142857142857,0.388888888888889,0.74370373409655,1,0.46377526,0.555983756,0.512236798360786,0.587016200985683,2,1,2,1
