group	lib.size	norm.factors	eff.lib.size
adr7	743422	1.02341151747561	760826.637144752
adr8	739956	0.978180274646939	723810.363306651
aww7	748730	0.909273661914303	680800.468885096
aww8	743271	0.976256618218631	725623.23287998
sdr7	999929	1.11057182304265	1110492.97244322
sdr8	1000024	0.957229673642176	957252.647154344
sww8	999880	1.00423570707775	1004115.1987929
sww9	999872	1.0540803891761	1053945.46688629
