"","gene","dr7","dr8","ww8","ww9"
"96","AB12C_ARATH",11.342,5.832,10.625,1.886
"97","AB12G_ARATH",8.832,6.61,13.0116666666667,8.24666666666667
"98","AB12I_ARATH",7.415,4.503,10.5635,6.825
"99","AB13C_ORYSJ",7.215,7.532,9.713,2.296
"100","AB14C_ARATH",27.277,29.3032,32.354,30.4176
"101","AB15B_ARATH",0.677,2.12,5.99,3.459
"102","AB15C_ARATH",10.0316666666667,9.056,11.9176666666667,11.885
"103","AB15G_ARATH",11.77775,6.84575,14.75575,12.1015
"104","AB16G_ARATH",10.053,3.11,5.959,10.367
"105","AB17A_HUMAN",6.835,4.734,11.2,4.856
"106","AB17B_CHICK",6.529,6.085,3.6105,2.501
"107","AB17B_RAT",0,0,1.22,0.704
"108","AB17C_DANRE",6.841,4.11766666666667,10.4096666666667,7.12966666666667
"109","AB19I_ARATH",11.4905,14.59,15.4045,14.8765
"110","AB1C_ARATH",18.084,5.283,11.364,9.468
"111","AB1D_ARATH",15.9851818181818,12.8774545454545,14.1442727272727,14.1184545454545
"112","AB1F_ARATH",34.1635294117647,29.9429411764706,32.0333529411765,29.5707647058824
"113","AB20B_ARATH",10.81575,7.78475,9.4435,10.179
"114","AB20I_ARATH",15.0775,11.87875,16.71225,18.43075
"115","AB21B_ARATH",14.885,17.5023333333333,16.1433333333333,14.279
"116","AB21I_ARATH",20.681,27.911,6.656,13.875
"117","AB22G_ARATH",100.754,71.6385,112.8735,102.6505
"118","AB25B_ARATH",3.69775,5.439,2.74325,3.425
"119","AB25B_ORYSJ",23.9225,25.027,27.471,29.3035
"120","AB26B_ARATH",12.8895,15.1335,13.5328333333333,17.536
"121","AB28B_ARATH",8.4674,8.5884,7.4868,8.9092
"122","AB2A_ARATH",11.0825,1.7965,5.0615,5.0075
"123","AB2C_ARATH",7.505,12.6775,5.259,8.88425
"124","AB2D_ARATH",14.9446666666667,13.0696666666667,15.8857777777778,12.4994444444444
"125","AB2E_ARATH",9.914,9.78325,15.087,17.04325
"126","AB2G_ARATH",9.8725,11.6795,11.2,5.3255
"127","AB35G_ORYSJ",4.957,1.189,1.687,7.3185
"128","AB36G_ORYSJ",2.6525,2.991,5.487,4.7785
"129","AB39G_ORYSJ",5.18425,1.2025,1.53325,2.25475
"130","AB3C_ARATH",8.99842857142857,9.76828571428571,12.7968571428571,10.3741428571429
"131","AB3F_ARATH",11.583,7.844,9.03566666666667,10.3346666666667
"132","AB42G_ORYSJ",6.07675,8.76925,9.48175,6.9815
"133","AB45G_ORYSJ",3.728,6.348,8.359,7.592
"134","AB4C_ARATH",25.1235,15.128,23.8095,17.9445
"135","AB4C_MAIZE",2.239,5.45814285714286,8.35714285714286,4.50314285714286
"136","AB4F_ARATH",16.848,22.5166666666667,17.025,19.031
"137","AB53G_ORYSJ",8.18416666666667,3.2835,6.96566666666667,6.93266666666667
"138","AB5B_ARATH",11.722,22.176,12.277,12.409
"139","AB5F_ARATH",179.472333333333,250.784333333333,186.216666666667,195.116
"140","AB6B_ARATH",15.562,9.888,11.3603333333333,16.0346666666667
"141","AB6C_ARATH",11.3655,8.8445,7.1485,12.815
"142","AB6I_ARATH",19.123,17.334,23.389,17.5095
"143","AB7A_ARATH",4.776,1.4635,6.1895,3.8305
"144","AB7G_ARATH",5.64075,1.4445,8.005,5.5865
"145","AB7I_ARATH",15.6775,15.5585,15.9845,14.124
"146","AB8A_ARATH",6.5845,7.978,8.046,5.985
"147","AB8C_ARATH",9.5254,13.2787,11.8088,10.155
"148","AB8I_ARATH",53.6443333333333,77.5883333333333,55.1746666666667,61.1573333333333
"149","AB9C_ARATH",6.6588,9.5998,7.368,5.6516
"150","ABA2_NICPL",14.9298333333333,25.6585,25.4556666666667,17.5195
"151","ABAH3_ORYSI",131.664,48.483,82.521,101.287
"152","ABAH3_ORYSJ",69.5496666666667,24.586,35.3183333333333,42.817
"153","ABD18_HUMAN",0,6.553,0,10.973
"154","ABHDB_XENLA",18.928,23.865,16.194,16.503
"155","ABHDD_DANRE",13.355,14.041,15.179,10.778
"156","ABIL1_ORYSJ",16.0395,18.6955,18.056,17.759
"157","ABIL4_ORYSJ",5.787,5.982,5.723,2.492
"158","ABKC_DICDI",9.209,6.112,8.113,5.384
"159","ABP4_MAIZE",12.131,6.251,8.995,6.517
"160","ABP5_MAIZE",11.486,18.824,13.497,8.027
"161","ACA1_ORYSJ",14.8702,9.0102,11.8254,23.1088
"162","ACA2_ARATH",11.593,15.774,13.128,31.912
"163","ACA2_ORYSJ",7.90316666666667,10.8243333333333,9.157,9.29566666666667
"164","ACA4_ORYSJ",21.219,33.737,16.148,21.5455
"165","ACA5_ORYSJ",19.4555,23.4113333333333,21.1155,22.1348333333333
"166","ACA6_ORYSJ",3.8692,10.7792,4.33,8.149
"167","ACA8_ARATH",7.8735,14.3768333333333,10.504,9.36866666666667
"168","ACA9_ARATH",7.523,10.3854,11.5936,9.1456
"169","ACAP1_ARATH",14.839,16.721,13.241,15.526
"170","ACBP_FRIAG",17.769,28.051,21.035,20.441
"171","ACBP_RICCO",60.0391428571429,62.07,82.4608571428572,69.3288571428571
"172","ACBP1_ARATH",6.42788888888889,4.605,5.75477777777778,5.43266666666667
"173","ACBP2_ARATH",28.221,33.872,20.266,34.228
"174","ACBP3_ARATH",6.696,7.7795,11.1895,8.266
"175","ACBP4_ARATH",8.99066666666667,11.1948888888889,8.59022222222222,8.577
"176","ACBP5_ARATH",12.733,23.359,13.251,9.585
"177","ACBSY_ORYSJ",8.82041666666667,8.79533333333333,8.42033333333333,6.50683333333333
"178","ACC1_ORYSJ",18.8044545454545,16.7578181818182,23.6963636363636,17.1448181818182
"179","ACC2_ORYSJ",19.3483571428571,21.4949285714286,20.0433571428571,17.1169285714286
"180","ACCH1_ARATH",12.63925,14.973625,17.532875,14.478375
"181","ACCH2_ARATH",8.6715,7.6665,12.497,13.87
"182","ACCH3_ARATH",14.43725,30.65175,19.479,21.472
"183","ACCH4_ARATH",36.188,20.024,24.266,28.405
"184","ACCH7_ARATH",24.762,22.617,23.804,29.548
"185","ACCO_DIACA",15.367,49.893,19.979,22.395
"186","ACCO_MUSAC",10.4845,14.784,10.6715,10.8755
"187","ACCO1_ORYSI",22.3783333333333,19.3783333333333,50.9863333333333,32.2706666666667
"188","ACCO5_ARATH",6.1025,7.8385,15.328,10.543
"189","ACD11_ARATH",8.6735,10.59575,8.49725,9.97625
"190","ACDH_ARATH",8.9125,11.986,7.4205,8.7845
"191","ACER3_MOUSE",15.924,8.629,19.784,15.135
"192","ACET1_MAIZE",23.2685,17.5275,16.73825,38.54225
"193","ACET1_ORYSJ",28.2395,7.537,21.2045,22.3565
"194","ACFR2_ARATH",8.85666666666667,3.07366666666667,9.58266666666667,5.322
"195","ACFR2_MAIZE",25.16525,32.70425,25.912,29.80425
"196","ACH11_ARATH",27.3495,7.3705,22.302,18.0815
"197","ACINU_HUMAN",9.93566666666667,7.95866666666667,8.933,8.921
"198","ACL5_ARATH",4.96766666666667,12.614,6.003,2.58633333333333
"199","ACLA2_ORYSJ",18.205,29.794,23.435,22.767
"200","ACLA3_ORYSJ",21.488,27.115,25.184,20.671
"201","ACLB1_ORYSJ",17.129,14.02,24.03,17.461
"202","ACMAT_VITLA",7.716,34.259,6.79,15.233
"203","ACO13_PONAB",7.9665,9.63,7.964,6.62
"204","ACOC_CUCMC",3.96,0,10.83,0
"205","ACOC_ORYSJ",17.5151333333333,10.6642666666667,15.1093333333333,16.4664
"206","ACOT8_HUMAN",6.962,10.218,7.37766666666667,8.361
"207","ACOT8_RAT",10.5655,10.036,10.551,9.1945
"208","ACOT9_HUMAN",9.302,10.738,6.923,4.524
"209","ACOT9_MOUSE",12.919,14.02,9.784,7.905
"210","ACOX1_ARATH",27.07825,21.5435,27.81175,27.606
"211","ACOX2_ARATH",8.546,14.3805,12.9845,8.8085
"212","ACOX2_CUCMA",4.424,8.662,4.051,9.126
"213","ACOX3_ARATH",8.44175,6.68175,5.67925,5.55475
"214","ACOX4_ARATH",14.7736,10.088,9.5158,11.5728
"215","ACP1_HORVU",13.234,20.099,23.384,20.812
"216","ACP3_HORVU",13.9257142857143,14.232,18.3277142857143,18.642
"217","ACP4_ARATH",9.2275,22.945,30.609,10.1425
"218","ACPH_HUMAN",20.839,6.305,20.779,22.307
"219","ACPM1_ARATH",8.4395,6.6225,5.0975,9.014
"220","ACPM2_ARATH",20.936,18.932,18.3225,22.288
"221","ACR10_ARATH",11.9265,8.66175,7.8535,9.82
"222","ACR12_ARATH",64.64,31.171,61.578,54.64
"223","ACR21_ORYSJ",17.66,23.427,24.80925,22.43925
"224","ACR22_ORYSJ",3.394,1.775,2.492,8.628
"225","ACR3_ARATH",1.929,3.454,4.846,1.402
"226","ACR4_ARATH",10.744,10.2715,11.2305,9.01275
"227","ACR5_ARATH",5.666,2.927,12.584,1.212
"228","ACR6_ARATH",10.5181428571429,12.1077142857143,15.2611428571429,10.254
"229","ACR9_ARATH",13.7644,12.9246,16.4774,14.8092
"230","ACS_ARATH",20.1564,24.9108,17.1052,18.0472
"231","ACSS_MAIZE",3.24057142857143,8.97657142857143,6.52742857142857,16.8804285714286
"232","ACT_PINCO",16.3455,8.3495,22.4915,15.9265
"233","ACT_SCHDU",5.277,12.858,4.656,2.726
"234","ACT1_MAIZE",27.173,41.231,37.896,34.111
"235","ACT1_ORYSJ",4.09,19.938,13.959,5.755
"236","ACT1_TOBAC",18.6315,14.827,15.097,22.3125
"237","ACT10_SOLTU",62.872,37.4583333333333,63.7413333333333,55.2623333333333
"238","ACT11_SOLTU",70.6903333333333,92.8173333333333,80.7463333333333,87.647
"239","ACT2_ORYSJ",30.354,41.2063333333333,41.7356666666667,34.3683333333333
"240","ACT3_ORYSJ",26.3695,24.2561666666667,30.734,30.3915
"241","ACT7_ARATH",241.646,308.622,256.895,308.396
"242","ACT7_ORYSJ",21.9504285714286,17.7367142857143,21.4617142857143,22.0842857142857
"243","ACTM_LYTPI",73.071,52.916,72.521,75.648
"244","ACY1_DICDI",12.1952,13.5874,15.415,17.0604
"245","ACY1_MOUSE",5.7258,2.8404,12.5862,5.7532
"246","ACY1_PIG",13.707,13.643,7.866,11.354
"247","ADAL_BOVIN",16.573,19.507,11.384,9.019
"248","ADAT1_HUMAN",6.603,0,4.195,1.212
"249","ADAT3_MOUSE",7.13166666666667,2.073,7.10766666666667,4.69333333333333
"250","ADC2_ORYSJ",20.15975,32.7125,65.0495,80.1355
"251","ADCK1_HUMAN",23.7415,30.38,29.3785,27.9065
"252","ADCK1_MOUSE",2.328,3.583,5.19,1.505
"253","ADCK4_DANRE",13.262,21.864,12.656,18.976
"254","ADCK4_RAT",11.593,13.966,12.974,13.865
"255","ADCS_ORYSJ",5.96466666666667,9.19783333333333,5.188,5.02066666666667
"256","ADF2_ORYSJ",77.854,97.961,94.7172,104.7738
"257","ADF3_MAIZE",345.414,387.835,448.294,385.94
