"","gene","adr7","adr8","aww7","aww8"
"9522","ULA1_ARATH",3.45666666666667,1.61883333333333,3.45683333333333,3.31616666666667
"9523","ULP1A_ARATH",10.08,2.442,9.463,6.117
"9524","ULP1B_ARATH",1.114,4.327,1.119,0.577
"9525","ULP1C_ARATH",4.336,3.513,4.602,3.856
"9526","ULP1D_ARATH",3.498,2.895,2.43933333333333,3.621
"9527","ULP2B_ARATH",3.2622,4.2664,3.5552,3.4098
"9528","UMP2_ARATH",12.9482,10.3494,12.183,10.2878
"9529","UMPS1_ORYSJ",8.04866666666667,5.09766666666667,4.951,5.00766666666667
"9530","UN932_ARATH",9.61954545454545,6.40109090909091,8.257,8.237
"9531","UN933_ARATH",5.235,2.2382,5.1254,4.226
"9532","UNC50_DICDI",12.142,6.886,8.453,10.506
"9533","UNE10_ARATH",59.9876666666667,43.258,57.1383333333333,50.3663333333333
"9534","UNE12_ARATH",15.3495,11.35975,13.98225,15.60275
"9535","UP12_ORYSJ",160.135,210.3452,131.0728,171.616
"9536","UPL1_ARATH",10.6817222222222,8.66966666666667,6.868,8.695
"9537","UPL2_ARATH",14.1793571428571,10.9247142857143,9.34321428571429,12.0530714285714
"9538","UPL3_ARATH",15.3557,15.5818,16.96325,14.4168
"9539","UPL4_ARATH",3.7043,2.7566,2.6701,3.7953
"9540","UPL5_ARATH",9.721,7.122,7.971,10.589
"9541","UPL6_ARATH",10.438625,9.39325,9.66,8.820375
"9542","UPL7_ARATH",3.86933333333333,1.06366666666667,1.17433333333333,0.577333333333333
"9543","UPP_ARATH",2.418,0,1.375,1.876
"9544","UPP_TOBAC",3.737,5.1405,5.8565,4.8885
"9545","UPS1_ARATH",10.485,1.58133333333333,5.83533333333333,8.38733333333333
"9546","UPS2_ARATH",9.16828571428571,5.61171428571429,7.91285714285714,7.16385714285714
"9547","UPS3_ARATH",4.188,14.125,5.525,10.942
"9548","UPS4_ARATH",2.605,1.821,1.721,3.376
"9549","UPS5_ARATH",8.073,3.545,11.049,13.496
"9550","UPSA3_VIGUN",7.447,22.6875,3.1765,7.4965
"9551","UPTG_MAIZE",15.023,21.14,10.422,17.7975
"9552","UQCC1_XENLA",4.22975,4.6905,6.24975,3.50375
"9553","UREA_ORYSI",4.294,9.3545,4.1925,4.2965
"9554","UREA_ORYSJ",5.155,7.3785,3.6485,3.895
"9555","URH1_ORYSJ",7.17825,4.2515,5.25,4.453
"9556","URH2_ARATH",12.57,10.736,10.458,12.2775
"9557","URH2_ORYSJ",6.1658,14.2646,10.2342,11.805
"9558","URIC2_CANLI",4.106,3.17,1.513,5.99
